 TITLE="boundary"
 VARIABLES="X", "Y"
 ZONE T="boundary"
 I=296, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 -0.4266666667E+02  0.3650000000E+02
 -0.4418181818E+02  0.3650000000E+02
 -0.4569696970E+02  0.3650000000E+02
 -0.4721212121E+02  0.3650000000E+02
 -0.4872727273E+02  0.3650000000E+02
 -0.5024242424E+02  0.3650000000E+02
 -0.5175757576E+02  0.3650000000E+02
 -0.5327272727E+02  0.3650000000E+02
 -0.5478787879E+02  0.3650000000E+02
 -0.5630303030E+02  0.3650000000E+02
 -0.5781818182E+02  0.3650000000E+02
 -0.5933333333E+02  0.3650000000E+02
 -0.6084848485E+02  0.3650000000E+02
 -0.6236363636E+02  0.3650000000E+02
 -0.6387878788E+02  0.3650000000E+02
 -0.6539393939E+02  0.3650000000E+02
 -0.6690909091E+02  0.3650000000E+02
 -0.6842424242E+02  0.3650000000E+02
 -0.6993939394E+02  0.3650000000E+02
 -0.7145454545E+02  0.3650000000E+02
 -0.7296969697E+02  0.3650000000E+02
 -0.7448484848E+02  0.3650000000E+02
 -0.7600000000E+02  0.3650000000E+02
 -0.7600000000E+02  0.3496938776E+02
 -0.7600000000E+02  0.3343877551E+02
 -0.7600000000E+02  0.3190816327E+02
 -0.7600000000E+02  0.3037755102E+02
 -0.7600000000E+02  0.2884693878E+02
 -0.7600000000E+02  0.2731632653E+02
 -0.7600000000E+02  0.2578571429E+02
 -0.7600000000E+02  0.2425510204E+02
 -0.7600000000E+02  0.2272448980E+02
 -0.7600000000E+02  0.2119387755E+02
 -0.7600000000E+02  0.1966326531E+02
 -0.7600000000E+02  0.1813265306E+02
 -0.7600000000E+02  0.1660204082E+02
 -0.7600000000E+02  0.1507142857E+02
 -0.7600000000E+02  0.1354081633E+02
 -0.7600000000E+02  0.1201020408E+02
 -0.7600000000E+02  0.1047959184E+02
 -0.7600000000E+02  0.8948979592E+01
 -0.7600000000E+02  0.7418367347E+01
 -0.7600000000E+02  0.5887755102E+01
 -0.7600000000E+02  0.4357142857E+01
 -0.7600000000E+02  0.2826530612E+01
 -0.7600000000E+02  0.1295918367E+01
 -0.7600000000E+02 -0.2346938776E+00
 -0.7600000000E+02 -0.1765306122E+01
 -0.7600000000E+02 -0.3295918367E+01
 -0.7600000000E+02 -0.4826530612E+01
 -0.7600000000E+02 -0.6357142857E+01
 -0.7600000000E+02 -0.7887755102E+01
 -0.7600000000E+02 -0.9418367347E+01
 -0.7600000000E+02 -0.1094897959E+02
 -0.7600000000E+02 -0.1247959184E+02
 -0.7600000000E+02 -0.1401020408E+02
 -0.7600000000E+02 -0.1554081633E+02
 -0.7600000000E+02 -0.1707142857E+02
 -0.7600000000E+02 -0.1860204082E+02
 -0.7600000000E+02 -0.2013265306E+02
 -0.7600000000E+02 -0.2166326531E+02
 -0.7600000000E+02 -0.2319387755E+02
 -0.7600000000E+02 -0.2472448980E+02
 -0.7600000000E+02 -0.2625510204E+02
 -0.7600000000E+02 -0.2778571429E+02
 -0.7600000000E+02 -0.2931632653E+02
 -0.7600000000E+02 -0.3084693878E+02
 -0.7600000000E+02 -0.3237755102E+02
 -0.7600000000E+02 -0.3390816327E+02
 -0.7600000000E+02 -0.3543877551E+02
 -0.7600000000E+02 -0.3696938776E+02
  0.7400000000E+02 -0.3696938776E+02
  0.7400000000E+02 -0.3543877551E+02
  0.7400000000E+02 -0.3390816327E+02
  0.7400000000E+02 -0.3237755102E+02
  0.7400000000E+02 -0.3084693878E+02
  0.7400000000E+02 -0.2931632653E+02
  0.7400000000E+02 -0.2778571429E+02
  0.7400000000E+02 -0.2625510204E+02
  0.7400000000E+02 -0.2472448980E+02
  0.7400000000E+02 -0.2319387755E+02
  0.7400000000E+02 -0.2166326531E+02
  0.7400000000E+02 -0.2013265306E+02
  0.7400000000E+02 -0.1860204082E+02
  0.7400000000E+02 -0.1707142857E+02
